timestamp,demo4,is_anomaly
0,10.958968842126804,0.0
1,10.87068825798739,0.0
2,10.921713813798096,0.0
3,10.978978096702631,0.0
4,10.770385180164556,0.0
5,10.735011067536444,0.0
6,10.878580593743274,0.0
7,10.757366631402643,0.0
8,10.591495012174573,0.0
9,10.648506099253044,0.0
10,10.501843565883656,0.0
11,10.453820340218979,0.0
12,10.475220849649478,0.0
13,10.208906785705569,0.0
14,10.175692127375678,0.0
15,10.238807176471141,0.0
16,10.13967521673818,0.0
17,10.217546233419542,0.0
18,10.039895819639666,0.0
19,9.933632771173789,0.0
20,10.165357048407444,0.0
21,9.940084360014888,0.0
22,9.913402276236857,0.0
23,9.708456238132792,0.0
24,9.741244081912953,0.0
25,9.7521696889645,0.0
26,9.572188978827665,0.0
27,9.672054358284838,0.0
28,9.522768598405849,0.0
29,9.503325443369025,0.0
30,9.423459555387787,0.0
31,9.621620446566077,0.0
32,9.389581169813626,0.0
33,9.241617160179459,0.0
34,9.388156398815084,0.0
35,9.144518208895157,0.0
36,9.250500438467412,0.0
37,8.99908595632129,0.0
38,9.030209535740177,0.0
39,9.153326624335469,0.0
40,9.180829303650778,0.0
41,9.100275398850755,0.0
42,9.0506185772939,0.0
43,9.0140728074634,0.0
44,8.881342402515356,0.0
45,8.945280485311628,0.0
46,8.962367802623813,0.0
47,9.108434977214255,0.0
48,9.034517947797545,0.0
49,8.824435844060046,0.0
50,9.036880534508397,0.0
51,8.972832964800075,0.0
52,8.953633181894773,0.0
53,9.095560874837938,0.0
54,9.1536035620567,0.0
55,9.162733723760095,0.0
56,9.007717611545672,0.0
57,9.085613903142105,0.0
58,9.177340942249671,0.0
59,9.27214503739522,0.0
60,9.159649783119166,0.0
61,9.224474842918557,0.0
62,9.170265855889188,0.0
63,9.201403095103089,0.0
64,9.44454010877044,0.0
65,9.543181495631464,0.0
66,9.446493155244744,0.0
67,9.601905469614442,0.0
68,9.587144338246683,0.0
69,9.53731211681656,0.0
70,9.690061609255205,0.0
71,9.86091410786488,0.0
72,9.757639106250199,0.0
